InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
103008,S2835,Product 1203,11,2019-01-23,23.15,19344,Netherlands
103009,S4261,Product 1508,6,2020-01-13,42.56,42765,United Kingdom
103010,S0999,Product 1613,1,2020-03-12,5.71,32996,Netherlands
103011,S2568,Product 3567,19,2019-04-25,26.42,30593,United Kingdom
103012,S1308,Product 4041,7,2020-12-20,10.22,14670,Spain
103013,S0657,Product 1571,10,2019-04-09,11.01,42541,Australia
103014,S2661,Product 1040,12,2020-06-22,13.21,28010,Spain
103015,S2212,Product 1426,12,2019-04-08,23.24,50429,Spain
103016,S1910,Product 4082,1,2020-05-24,24.97,35761,United Kingdom
103017,S3731,Product 171,9,2020-04-13,43.64,44844,Spain
103018,S2047,Product 189,17,2020-11-03,44.66,34131,France
103019,S3163,Product 4882,12,2019-04-01,29.54,40688,Netherlands
103020,S1141,Product 4679,2,2019-04-18,14.43,55880,Netherlands
103021,S0267,Product 600,9,2019-03-03,41.01,39131,United Kingdom
103022,S1846,Product 4942,12,2019-03-19,39.75,32816,Australia
103023,S1709,Product 4018,4,2019-10-13,40.0,45181,Germany
103024,S3631,Product 3333,12,2019-02-15,1.31,27879,Germany
103025,S3212,Product 3577,18,2019-05-06,37.82,54133,Netherlands
103026,S2294,Product 2390,3,2020-02-05,42.71,10118,Germany
103027,S3733,Product 954,1,2020-12-07,30.45,41184,Germany
103028,S3830,Product 1626,18,2020-10-07,37.69,59255,Germany
103029,S1511,Product 1871,8,2019-07-03,38.92,10049,United Kingdom
103030,S0476,Product 4262,19,2020-08-04,25.58,47717,Australia
103031,S0977,Product 2025,4,2019-12-22,40.77,41536,France
103032,S1208,Product 4330,16,2020-09-06,39.72,10474,Spain
103033,S1961,Product 641,17,2019-12-22,45.85,55774,Australia
103034,S0558,Product 1828,9,2019-03-08,46.11,58311,United Kingdom
103035,S0883,Product 4703,8,2019-06-12,26.72,23142,France
103036,S2195,Product 540,19,2020-09-14,2.06,17307,Spain
103037,S4762,Product 2366,7,2020-02-07,1.45,40426,Spain
103038,S2668,Product 4439,12,2019-11-27,46.98,10112,Australia
103039,S4960,Product 3502,1,2020-10-16,17.2,54599,United Kingdom
103040,S4678,Product 3948,17,2019-10-20,19.19,51713,Netherlands
103041,S4791,Product 3027,6,2019-04-06,23.76,49048,United Kingdom
103042,S1611,Product 4733,5,2020-02-19,13.66,45438,Spain
103043,S3489,Product 3538,7,2020-03-14,29.73,27308,Australia
103044,S2455,Product 4175,12,2019-03-12,39.34,39860,Germany
103045,S4495,Product 2497,5,2020-01-20,13.24,27920,Germany
103046,S1947,Product 4287,2,2019-12-18,37.28,57435,Australia
103047,S4811,Product 4740,4,2019-11-06,33.76,19792,Australia
103048,S4800,Product 2090,17,2019-06-11,26.52,50215,Netherlands
103049,S2809,Product 3322,8,2019-08-19,16.61,42087,United Kingdom
103050,S3826,Product 3582,5,2019-11-24,43.7,57649,Australia
103051,S3537,Product 2550,17,2020-02-15,20.44,54155,Spain
103052,S3803,Product 1217,4,2019-10-26,19.05,10482,Australia
103053,S4178,Product 4886,18,2019-03-28,32.25,15169,Germany
103054,S4700,Product 3979,18,2020-02-04,46.06,43033,France
103055,S1971,Product 742,18,2020-01-16,25.65,15847,Germany
103056,S3823,Product 4186,16,2020-05-25,36.27,54122,Australia
103057,S2820,Product 1715,11,2020-12-18,23.12,22685,Netherlands
103058,S0903,Product 4045,8,2020-05-22,11.33,41466,United Kingdom
103059,S0365,Product 648,12,2020-06-20,6.64,13378,United Kingdom
103060,S4259,Product 2798,18,2020-08-03,7.25,22651,Australia
103061,S3120,Product 819,18,2020-05-29,1.56,46767,Germany
103062,S2559,Product 243,8,2020-12-08,27.87,36810,France
103063,S1864,Product 4315,16,2019-07-22,6.99,39000,United Kingdom
103064,S0116,Product 4105,17,2020-08-06,43.35,25353,United Kingdom
103065,S2385,Product 4526,2,2020-03-18,49.15,15926,Spain
103066,S4977,Product 3878,15,2019-07-08,25.05,32958,Netherlands
103067,S3936,Product 13,7,2019-12-08,22.76,58160,Spain
103068,S4936,Product 3018,1,2020-01-31,17.73,47408,Netherlands
103069,S2491,Product 690,2,2020-07-28,32.08,58165,United Kingdom
103070,S0943,Product 3139,4,2020-08-05,30.6,14831,France
103071,S1725,Product 3741,16,2020-06-19,17.5,24868,France
103072,S2335,Product 677,12,2020-08-12,17.49,53588,United Kingdom
103073,S2768,Product 3575,17,2019-01-13,32.42,35514,Netherlands
103074,S1138,Product 4304,4,2020-12-05,27.95,33004,Spain
103075,S2528,Product 1324,16,2020-01-06,36.07,48075,Australia
103076,S4118,Product 2866,7,2019-04-19,47.1,19597,Spain
103077,S3421,Product 1003,8,2020-05-25,39.09,45271,Spain
103078,S4779,Product 2503,9,2019-12-29,15.57,10730,Netherlands
103079,S3907,Product 1766,14,2020-05-15,38.08,21319,United Kingdom
103080,S3638,Product 1554,9,2019-05-16,22.78,15613,France
103081,S2954,Product 2292,15,2019-02-20,38.99,20024,Spain
103082,S2368,Product 1986,4,2020-12-18,44.39,20602,Australia
103083,S4222,Product 4867,3,2019-12-30,12.87,29754,Netherlands
103084,S0277,Product 238,10,2020-07-02,12.31,19779,Netherlands
103085,S2000,Product 3318,4,2019-03-22,21.91,47167,Spain
103086,S1228,Product 2393,18,2019-06-20,3.05,49558,United Kingdom
103087,S3753,Product 3556,11,2020-12-26,34.44,53106,Australia
103088,S3736,Product 1585,19,2019-07-04,37.61,22843,France
103089,S0696,Product 1308,19,2019-10-27,17.6,57237,France
103090,S1310,Product 2086,18,2020-03-24,23.53,59001,Netherlands
103091,S4153,Product 1820,13,2020-11-19,29.72,41119,United Kingdom
103092,S3235,Product 32,4,2019-10-22,4.14,35994,Germany
103093,S4115,Product 292,3,2019-07-23,35.71,12915,France
103094,S2312,Product 3687,16,2019-01-30,26.57,50506,Australia
103095,S2842,Product 4388,14,2019-12-02,31.4,47467,Germany
103096,S4209,Product 1643,10,2020-07-16,36.33,27388,Netherlands
103097,S3560,Product 578,6,2020-01-25,33.94,13699,Australia
103098,S3399,Product 3910,8,2019-07-06,5.22,39090,France
103099,S0542,Product 1224,16,2019-04-28,39.24,21323,United Kingdom
103100,S2695,Product 4077,10,2019-04-12,30.7,43274,Germany
103101,S4675,Product 2653,7,2019-09-18,35.89,24992,Spain
103102,S1089,Product 447,19,2019-11-30,13.44,57270,Germany
103103,S3364,Product 3420,18,2020-09-14,11.46,31994,Australia
103104,S0025,Product 4374,13,2020-01-22,41.39,32659,Netherlands
103105,S1573,Product 3042,8,2020-12-28,19.82,23487,Australia
103106,S2959,Product 2580,14,2019-04-25,28.98,25814,Australia
103107,S4237,Product 1423,9,2020-04-16,27.8,56639,Netherlands
103108,S1768,Product 2610,12,2019-10-13,29.47,10337,Netherlands
103109,S4744,Product 3082,6,2019-05-20,3.94,38148,United Kingdom
103110,S2236,Product 59,12,2020-08-23,15.47,33403,United Kingdom
103111,S0201,Product 3160,19,2020-03-09,3.79,34637,Australia
103112,S3199,Product 459,12,2020-04-10,24.27,41870,Netherlands
103113,S0257,Product 104,7,2020-08-27,45.15,38694,Australia
103114,S3748,Product 4927,15,2019-10-30,19.76,56267,France
103115,S4643,Product 789,16,2019-03-04,39.23,47161,Spain
103116,S2242,Product 742,4,2020-03-03,14.72,43957,United Kingdom
103117,S3176,Product 3407,6,2019-10-15,42.89,41570,France
103118,S3607,Product 1573,16,2019-12-16,21.27,29441,Australia
103119,S3337,Product 2702,15,2019-06-22,18.08,30537,Germany
103120,S4898,Product 4651,2,2020-11-21,35.03,59598,Germany
103121,S0414,Product 4724,3,2020-07-18,25.88,28874,France
103122,S2015,Product 3413,15,2020-09-14,17.2,44302,Australia
103123,S1382,Product 2977,8,2020-10-29,3.38,46372,Spain
103124,S1099,Product 2135,12,2020-05-01,8.75,29329,Germany
103125,S3427,Product 428,2,2019-11-14,38.73,31234,France
103126,S3656,Product 1945,15,2020-06-24,46.08,24672,France
103127,S0910,Product 1272,8,2019-05-04,8.86,34394,Netherlands
103128,S0188,Product 4980,11,2020-01-27,28.69,22556,France
103129,S4045,Product 4582,17,2020-11-16,2.19,41720,Spain
103130,S3757,Product 4700,1,2019-01-31,14.9,30699,Netherlands
103131,S2016,Product 412,15,2019-11-18,22.72,29472,Spain
103132,S2093,Product 1932,2,2019-11-14,36.93,46652,Spain
103133,S3645,Product 2496,10,2020-08-19,2.68,29764,Netherlands
103134,S2131,Product 247,6,2020-02-25,39.17,40807,Netherlands
103135,S0358,Product 2818,3,2020-08-20,10.53,45820,Germany
103136,S2423,Product 2172,13,2019-06-07,38.1,28913,Germany
103137,S4258,Product 3332,15,2019-12-05,31.46,24320,Australia
103138,S4546,Product 2925,6,2019-11-30,17.31,52020,Netherlands
103139,S1498,Product 2061,9,2020-10-14,36.33,37277,Spain
103140,S2159,Product 3335,10,2020-09-02,12.2,40917,United Kingdom
103141,S2556,Product 4896,9,2019-10-02,11.38,21447,France
103142,S2343,Product 945,18,2019-01-04,3.56,50875,Australia
103143,S2952,Product 2248,9,2019-08-26,19.96,50853,Netherlands
103144,S1239,Product 1263,18,2019-05-29,5.34,12899,France
103145,S0974,Product 176,9,2019-06-01,21.27,37030,Germany
103146,S4728,Product 1053,5,2019-04-16,0.99,15803,France
103147,S3966,Product 2725,13,2020-07-10,8.18,43183,Germany
103148,S1051,Product 2583,12,2020-07-14,46.65,48613,Netherlands
103149,S3702,Product 1318,9,2020-07-13,39.88,39809,Germany
103150,S2781,Product 4573,19,2020-02-08,12.19,29798,Spain
103151,S1589,Product 3368,1,2020-11-02,36.06,25865,Spain
103152,S3879,Product 1675,11,2019-06-27,33.59,26036,Spain
103153,S2369,Product 334,5,2019-04-15,9.26,24335,France
103154,S0437,Product 1265,7,2019-05-06,18.87,43386,France
103155,S2829,Product 3178,13,2019-07-09,45.73,56497,United Kingdom
103156,S1557,Product 2946,6,2020-02-03,37.07,58464,France
103157,S3859,Product 4781,13,2019-01-11,38.14,52446,Australia
103158,S1305,Product 4657,6,2019-02-06,28.41,26980,Australia
103159,S2385,Product 4219,15,2019-07-15,33.44,29712,United Kingdom
103160,S0183,Product 2666,8,2019-10-21,25.68,24700,Netherlands
103161,S1590,Product 4936,11,2020-08-15,37.17,35765,Netherlands
103162,S1588,Product 416,10,2020-03-20,36.77,13937,Netherlands
103163,S0660,Product 708,9,2020-03-20,2.04,36305,Netherlands
103164,S0160,Product 2685,4,2019-12-15,31.77,47779,France
103165,S3954,Product 3367,14,2019-08-18,31.68,17209,Australia
103166,S1012,Product 3504,4,2020-10-29,3.83,32072,Spain
103167,S0053,Product 4443,15,2019-03-28,20.81,27643,Spain
103168,S2308,Product 2560,10,2020-08-01,44.99,27266,Germany
103169,S1229,Product 4945,14,2020-06-16,47.7,19036,Netherlands
103170,S1036,Product 3972,6,2020-12-01,39.22,25879,Spain
103171,S3703,Product 4631,16,2019-09-29,8.0,36682,United Kingdom
103172,S4046,Product 2958,12,2019-10-26,19.05,20991,Netherlands
103173,S4946,Product 1730,4,2019-06-01,9.54,19610,United Kingdom
103174,S4450,Product 1902,1,2020-06-26,32.78,33795,France
103175,S1265,Product 4760,4,2019-08-14,38.77,53555,Netherlands
103176,S1885,Product 1042,13,2019-12-07,44.25,14379,Netherlands
103177,S1810,Product 27,7,2019-01-13,43.1,26464,Australia
103178,S3168,Product 2584,15,2019-04-25,5.41,45399,Spain
103179,S3798,Product 1053,6,2019-09-19,6.72,16656,France
103180,S2342,Product 1675,14,2020-12-26,45.53,18627,Germany
103181,S3415,Product 3056,18,2020-08-13,42.27,10770,United Kingdom
103182,S0818,Product 1659,4,2019-02-12,23.29,11292,Netherlands
103183,S2438,Product 4736,1,2019-03-23,21.79,44656,United Kingdom
103184,S0889,Product 3952,3,2020-04-23,27.86,45094,Australia
103185,S0668,Product 3189,13,2020-03-10,30.03,27110,Netherlands
103186,S4729,Product 1742,18,2019-03-16,13.08,33841,Australia
103187,S2625,Product 4088,4,2020-02-29,20.49,28073,Australia
103188,S4233,Product 4138,4,2019-03-30,31.17,46612,Netherlands
103189,S4524,Product 3232,11,2019-07-29,10.71,52887,Germany
103190,S0819,Product 1715,14,2020-11-05,49.94,33120,Spain
103191,S2189,Product 3197,7,2019-04-15,14.51,53900,United Kingdom
103192,S1107,Product 3332,3,2019-02-13,27.84,34216,United Kingdom
103193,S2225,Product 3348,7,2019-01-14,27.93,14566,France
103194,S0198,Product 1987,8,2020-05-07,22.85,39110,France
103195,S2672,Product 3545,12,2020-03-15,12.46,36139,Spain
103196,S3493,Product 702,7,2020-12-24,28.48,13847,Spain
103197,S2449,Product 1455,16,2020-03-02,5.01,36346,Australia
103198,S0471,Product 3787,17,2020-03-18,19.65,29323,France
103199,S1949,Product 2472,4,2019-07-02,11.6,21570,Australia
103200,S3900,Product 4261,17,2019-10-20,6.65,41493,France
103201,S2011,Product 3045,18,2019-06-11,46.31,20508,France
103202,S3801,Product 3884,4,2019-08-19,35.15,29952,Spain
103203,S4119,Product 2941,17,2019-08-06,8.86,53059,France
103204,S3797,Product 1821,15,2019-01-20,47.5,12552,Germany
103205,S3989,Product 2803,17,2020-03-01,11.19,30726,Australia
103206,S0235,Product 3796,13,2019-03-13,12.16,12902,Spain
103207,S0929,Product 2464,3,2020-10-24,7.1,44851,France
103208,S3608,Product 3372,12,2020-07-16,36.53,38537,Spain
103209,S0523,Product 336,17,2019-12-21,28.76,22394,Germany
103210,S3524,Product 1925,7,2020-10-13,3.38,15056,United Kingdom
103211,S4527,Product 4977,7,2020-10-01,1.75,42298,France
103212,S4889,Product 3861,11,2020-06-02,26.87,45980,Germany
103213,S1630,Product 2789,16,2020-11-07,32.75,51051,Netherlands
103214,S4629,Product 4126,4,2019-01-20,41.23,37503,Spain
103215,S1317,Product 3607,16,2019-09-07,24.17,49622,United Kingdom
103216,S2858,Product 1541,5,2019-08-04,33.99,46452,Netherlands
103217,S1125,Product 575,19,2019-07-05,36.82,20280,France
103218,S2588,Product 221,14,2019-12-11,30.85,40122,Netherlands
103219,S1024,Product 4923,7,2020-06-22,17.93,10702,France
103220,S1379,Product 2014,9,2019-07-24,7.03,29793,Germany
103221,S3375,Product 2642,13,2019-12-08,32.55,53528,Germany
103222,S1520,Product 754,16,2020-02-24,38.55,20981,Australia
103223,S0227,Product 1021,4,2020-03-19,9.9,14755,United Kingdom
103224,S4969,Product 1489,7,2020-06-18,25.0,59765,Australia
103225,S0892,Product 1962,3,2020-02-18,20.16,58995,Netherlands
103226,S4073,Product 3484,15,2019-09-05,10.68,52730,Spain
103227,S2258,Product 438,14,2020-05-23,12.64,48891,Australia
103228,S2789,Product 479,7,2019-05-06,12.26,12333,Germany
103229,S0397,Product 783,18,2020-04-11,21.24,31887,Germany
103230,S2079,Product 4168,5,2019-12-31,19.83,26967,France
103231,S4745,Product 4678,8,2020-09-18,27.93,13608,Australia
103232,S4425,Product 220,18,2019-03-07,5.11,24591,United Kingdom
103233,S3238,Product 1028,19,2019-10-17,29.27,18285,United Kingdom
103234,S3894,Product 290,3,2019-08-01,1.58,51629,Australia
103235,S2006,Product 380,6,2019-12-06,13.24,44252,France
103236,S2017,Product 3974,18,2019-04-18,25.36,14126,Spain
103237,S3172,Product 2852,15,2020-01-03,34.5,18799,Germany
103238,S2669,Product 1379,14,2020-05-19,38.68,52275,United Kingdom
103239,S1879,Product 1959,8,2020-08-06,2.26,39244,France
103240,S1197,Product 2128,11,2020-12-25,27.11,43692,Australia
103241,S1773,Product 66,11,2020-08-14,18.04,20223,Netherlands
103242,S0162,Product 2184,12,2020-05-27,34.9,48817,Australia
103243,S3977,Product 4495,16,2019-09-15,14.55,17698,United Kingdom
103244,S1752,Product 3775,7,2019-02-04,37.31,16105,Germany
103245,S0776,Product 4443,3,2019-03-15,30.31,53667,Germany
103246,S0940,Product 3920,2,2019-01-10,39.59,25309,Germany
103247,S3221,Product 778,3,2019-07-10,49.23,19450,Netherlands
103248,S0540,Product 2567,8,2020-06-21,45.48,30819,Netherlands
103249,S4918,Product 1904,8,2020-12-19,29.87,31016,Germany
103250,S1462,Product 2762,4,2020-05-11,44.74,34808,France
103251,S0356,Product 3852,13,2019-12-25,8.08,55380,Australia
103252,S3605,Product 79,17,2019-12-25,2.63,47942,France
103253,S3324,Product 1582,18,2019-07-26,26.89,15559,Germany
103254,S0235,Product 2163,5,2020-11-16,48.73,41644,France
103255,S1549,Product 986,12,2020-01-17,35.63,39937,Spain
103256,S2097,Product 1486,2,2019-08-20,15.6,11320,Germany
103257,S4214,Product 2621,10,2020-12-20,33.6,42897,United Kingdom
103258,S2102,Product 965,7,2020-11-20,2.48,32021,Spain
103259,S1674,Product 2548,15,2020-07-25,23.8,18419,Australia
103260,S2101,Product 829,7,2019-12-09,12.24,14282,Spain
103261,S3658,Product 3174,15,2019-05-27,2.94,15312,France
103262,S4654,Product 2674,16,2019-09-17,12.87,17454,Spain
103263,S3597,Product 1719,1,2020-08-31,36.26,27772,Netherlands
103264,S3749,Product 2433,15,2020-02-27,27.78,21364,France
103265,S3174,Product 1229,3,2019-03-18,1.66,17213,France
103266,S1816,Product 2411,10,2019-11-27,20.78,53579,Netherlands
103267,S3842,Product 3779,16,2020-07-08,37.73,44349,Spain
103268,S2006,Product 1841,2,2019-07-19,47.75,38946,France
103269,S4494,Product 498,17,2019-04-08,43.78,31760,France
103270,S0675,Product 537,1,2020-07-02,0.58,30497,Australia
103271,S0387,Product 3306,4,2020-05-02,11.33,40598,United Kingdom
103272,S2159,Product 1165,11,2019-04-25,10.78,22703,Australia
103273,S2662,Product 1972,17,2019-01-18,20.95,36850,France
103274,S2065,Product 3528,2,2019-10-12,32.46,52207,France
103275,S3852,Product 300,1,2019-08-10,8.08,36938,Netherlands
103276,S3254,Product 2387,6,2020-03-05,45.83,27376,Australia
103277,S4980,Product 4399,11,2019-06-27,38.97,43547,France
103278,S4637,Product 3964,4,2019-05-31,21.26,36796,France
103279,S4267,Product 4688,11,2019-09-19,29.41,40359,Spain
103280,S0740,Product 4172,5,2020-04-19,27.32,39109,France
103281,S1402,Product 3860,10,2019-06-12,29.32,54803,Germany
103282,S3260,Product 914,5,2019-10-20,43.08,57327,Germany
103283,S2278,Product 4876,3,2020-08-23,10.41,46119,United Kingdom
103284,S3905,Product 3696,6,2020-10-04,34.34,55400,Germany
103285,S3924,Product 921,13,2020-02-28,5.8,42688,Germany
103286,S4215,Product 1524,16,2020-11-30,23.23,23017,Netherlands
103287,S3228,Product 1750,7,2019-02-04,31.97,16420,Netherlands
103288,S2832,Product 3618,18,2019-06-17,1.12,11733,United Kingdom
103289,S3759,Product 2701,3,2019-08-29,5.85,24485,Netherlands
103290,S2513,Product 1006,6,2020-11-29,5.02,44924,France
103291,S2152,Product 1702,10,2019-06-18,19.05,13814,United Kingdom
103292,S3676,Product 3303,16,2019-02-24,31.29,53722,France
103293,S2746,Product 804,13,2020-10-06,49.8,36404,Spain
103294,S3867,Product 3367,9,2019-03-06,13.08,21550,Netherlands
103295,S3765,Product 2893,16,2020-07-25,7.23,21552,France
103296,S2223,Product 3499,11,2020-11-13,21.03,55932,Spain
103297,S2793,Product 4968,9,2019-01-09,7.73,23722,Netherlands
103298,S1698,Product 3163,10,2019-12-24,1.71,45065,Netherlands
103299,S3463,Product 115,11,2020-03-17,28.42,24413,United Kingdom
103300,S4064,Product 3330,15,2020-03-29,44.04,12814,Germany
103301,S1525,Product 4469,13,2019-03-30,43.11,47748,Germany
103302,S4761,Product 4946,17,2019-10-17,5.49,58703,France
103303,S0033,Product 2138,4,2020-09-14,7.8,39689,United Kingdom
103304,S4026,Product 4853,11,2020-06-30,24.81,29564,Germany
103305,S2567,Product 31,1,2020-09-20,18.7,56705,Australia
103306,S2804,Product 1806,1,2020-04-13,35.3,11904,France
103307,S3897,Product 3570,3,2020-12-17,25.0,27639,Australia
103308,S3710,Product 1437,15,2020-11-08,1.5,58604,France
103309,S0720,Product 4786,1,2020-05-18,14.59,53545,Germany
103310,S4580,Product 3429,16,2020-08-28,45.12,40553,Spain
103311,S0973,Product 457,17,2020-01-31,25.82,59579,France
103312,S3719,Product 449,9,2019-04-07,40.0,45370,Germany
103313,S4403,Product 68,5,2020-02-18,20.41,18240,Spain
103314,S4553,Product 4090,6,2019-06-21,34.01,10179,Germany
103315,S2208,Product 1863,15,2020-12-27,8.87,22614,France
103316,S4427,Product 1803,9,2020-05-16,36.96,52601,Spain
103317,S4321,Product 4970,3,2020-12-29,39.44,17990,France
103318,S3031,Product 4563,19,2019-04-04,4.96,23561,Germany
103319,S3576,Product 3432,13,2019-08-10,9.57,59681,United Kingdom
103320,S3117,Product 128,13,2020-05-28,23.41,54154,United Kingdom
103321,S3286,Product 4829,3,2020-04-02,32.05,48869,Germany
103322,S0644,Product 3826,14,2019-12-22,32.06,14026,Netherlands
103323,S4712,Product 1268,2,2020-08-05,33.58,23983,Spain
103324,S0195,Product 4011,10,2019-09-08,35.86,47045,United Kingdom
103325,S3997,Product 1043,9,2019-06-26,25.54,55552,Germany
103326,S0489,Product 3739,13,2020-11-21,28.96,29027,Netherlands
103327,S2205,Product 368,11,2020-01-31,0.92,37306,France
103328,S2658,Product 2605,2,2020-01-03,8.75,18872,France
103329,S3277,Product 2641,16,2020-09-29,25.18,47767,France
103330,S1103,Product 4908,5,2019-01-06,37.41,45762,Germany
103331,S1242,Product 59,1,2019-01-26,40.54,14231,Australia
103332,S0516,Product 4257,8,2020-03-28,36.58,32140,Australia
103333,S0393,Product 103,16,2019-02-18,24.58,17688,Spain
103334,S0631,Product 4942,14,2019-11-26,14.42,31933,Germany
103335,S3717,Product 4508,2,2020-08-19,22.51,43081,Netherlands
103336,S1848,Product 786,18,2020-02-29,0.96,29677,Spain
103337,S2656,Product 4279,7,2020-09-09,30.1,34925,France
103338,S0980,Product 3946,12,2019-10-30,4.19,25591,United Kingdom
103339,S4530,Product 2447,15,2020-02-02,7.7,50862,United Kingdom
103340,S3403,Product 957,2,2019-10-27,31.49,48852,United Kingdom
103341,S3872,Product 2703,17,2019-04-21,1.16,23161,Australia
103342,S0278,Product 437,11,2019-01-21,28.89,34447,Netherlands
103343,S0233,Product 2366,2,2020-10-15,32.1,30964,Australia
103344,S1553,Product 4702,19,2019-07-23,39.52,34905,France
103345,S3271,Product 497,5,2020-06-21,3.87,49551,United Kingdom
103346,S2410,Product 1367,17,2019-08-29,0.65,28336,Spain
103347,S3513,Product 2866,16,2020-04-01,38.46,26828,United Kingdom
103348,S0026,Product 1852,13,2019-05-11,14.86,19303,Netherlands
103349,S0461,Product 1023,13,2019-10-24,44.42,13342,United Kingdom
103350,S3765,Product 3131,13,2019-01-19,9.66,19756,Australia
103351,S3432,Product 2845,5,2020-01-10,29.48,48042,Netherlands
103352,S3484,Product 1490,5,2019-05-20,5.92,17955,Netherlands
103353,S1995,Product 2335,19,2020-07-20,20.43,50867,Spain
103354,S0491,Product 4433,7,2019-12-24,44.16,28445,Netherlands
103355,S1073,Product 3390,11,2020-05-28,30.61,26932,Germany
103356,S3174,Product 203,1,2020-11-12,34.64,42752,France
103357,S0216,Product 231,7,2020-03-24,11.69,15603,Netherlands
103358,S1724,Product 3635,3,2020-08-21,46.18,26228,Germany
103359,S1593,Product 3129,13,2020-10-09,31.36,19431,Germany
103360,S2607,Product 2692,3,2020-10-29,5.74,19264,United Kingdom
103361,S0159,Product 3492,6,2020-03-01,1.27,32250,Spain
103362,S4782,Product 2963,15,2020-04-13,1.29,38579,United Kingdom
103363,S3314,Product 2328,4,2020-07-25,3.03,50377,Spain
103364,S2842,Product 4905,5,2019-11-03,45.62,53769,United Kingdom
103365,S1777,Product 4562,3,2019-07-25,18.24,44780,United Kingdom
103366,S2053,Product 2785,19,2019-05-04,15.26,42678,Germany
103367,S2296,Product 804,16,2019-05-27,21.12,43284,France
103368,S1697,Product 4362,17,2019-09-17,20.77,31485,Germany
103369,S2994,Product 3724,9,2019-05-15,12.31,16886,United Kingdom
103370,S2470,Product 2902,9,2019-02-10,5.05,21244,France
103371,S1947,Product 176,14,2019-11-17,5.88,16446,United Kingdom
103372,S3810,Product 1445,11,2020-11-23,30.16,43767,United Kingdom
103373,S2784,Product 4004,10,2019-07-02,20.14,29448,France
103374,S3645,Product 3533,5,2019-01-20,45.17,46823,Germany
103375,S2501,Product 4350,4,2020-09-19,23.45,18429,Netherlands
103376,S3646,Product 1544,11,2020-07-02,25.42,54597,Australia
103377,S2646,Product 4999,6,2019-12-04,46.45,28659,United Kingdom
103378,S2350,Product 2155,2,2020-12-21,25.33,41692,Netherlands
103379,S1933,Product 2106,3,2019-10-05,25.35,53812,Germany
103380,S3295,Product 3414,18,2019-12-30,18.48,39101,Netherlands
103381,S1758,Product 3362,18,2020-09-01,35.67,54305,Germany
103382,S1117,Product 4180,7,2020-01-18,19.92,50457,Netherlands
103383,S2568,Product 1141,13,2020-07-26,29.62,27987,Netherlands
103384,S3500,Product 4808,13,2020-09-30,22.65,56563,United Kingdom
103385,S0493,Product 1762,6,2020-07-11,26.67,18789,France
103386,S3307,Product 1941,3,2019-10-09,41.44,15994,France
103387,S0620,Product 1807,10,2020-11-25,20.98,37114,Germany
103388,S3233,Product 4997,5,2020-11-07,11.89,26203,United Kingdom
103389,S3824,Product 3174,11,2020-07-12,28.73,38055,Netherlands
103390,S2381,Product 657,4,2019-02-17,46.91,15934,Germany
103391,S1547,Product 2504,10,2020-02-24,34.81,12084,France
103392,S4959,Product 659,4,2020-06-10,15.76,38871,Netherlands
103393,S3564,Product 2839,13,2020-11-01,48.17,44259,United Kingdom
103394,S1606,Product 4947,8,2020-03-20,17.46,28474,Germany
103395,S3753,Product 4237,6,2019-06-23,49.17,58337,Australia
103396,S4676,Product 2454,11,2019-01-15,10.0,44072,Spain
103397,S1891,Product 1055,2,2019-09-03,49.98,45569,United Kingdom
103398,S1276,Product 3042,18,2019-05-30,4.26,26214,Australia
103399,S2744,Product 4004,18,2019-06-29,35.81,57589,Germany
103400,S2494,Product 2339,12,2019-06-21,37.15,12705,Netherlands
103401,S0357,Product 111,17,2020-08-17,34.14,40642,Germany
103402,S0870,Product 1719,19,2019-10-31,38.99,47165,United Kingdom
103403,S0886,Product 4292,17,2020-10-31,23.86,53722,France
103404,S2002,Product 126,4,2019-09-12,3.18,57034,Australia
103405,S1284,Product 262,17,2019-10-25,18.21,50102,Australia
103406,S0620,Product 2935,16,2019-02-10,32.29,59485,France
103407,S0883,Product 2203,9,2019-04-13,32.49,18047,United Kingdom
103408,S0797,Product 1605,11,2019-01-30,10.16,27661,Netherlands
103409,S3643,Product 4204,12,2019-05-05,13.02,43621,France
103410,S3426,Product 2083,11,2020-06-19,24.59,38908,Spain
103411,S1297,Product 3943,13,2020-09-04,36.57,33973,Spain
103412,S4715,Product 655,8,2019-10-27,42.71,16838,Spain
103413,S0245,Product 2464,14,2019-11-05,4.78,42880,Germany
103414,S2896,Product 285,18,2019-05-25,46.32,47553,Netherlands
103415,S0930,Product 2566,14,2019-07-20,46.42,42553,Netherlands
103416,S0520,Product 3802,16,2020-08-13,0.89,53681,France
103417,S3213,Product 27,15,2020-02-13,25.57,24644,United Kingdom
103418,S2410,Product 2275,7,2020-06-07,29.56,22239,Spain
103419,S0008,Product 3868,8,2019-03-25,27.91,19236,Australia
103420,S2526,Product 3973,6,2020-07-11,30.98,31804,Spain
103421,S3424,Product 1592,13,2020-07-14,25.42,49903,United Kingdom
103422,S2020,Product 3382,17,2019-10-28,15.04,40267,United Kingdom
103423,S4591,Product 4944,8,2019-09-03,5.24,21794,Spain
103424,S4283,Product 1129,11,2020-06-22,10.81,32999,United Kingdom
103425,S3668,Product 4114,17,2019-10-13,37.14,12850,Germany
103426,S3672,Product 2137,9,2020-02-13,12.43,44641,France
